id,name,muscleGroup,exerciseType,defaultSets,defaultReps,defaultDuration,durationUnit,defaultWeight,startingWeightNote,tutorialVideoUrl,instructionPhotos,thumbnailPhotoIndex,instructions
front-squat,Front squat,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/front-squat/1.jpg | /exercise-photos/front-squat/2.jpg,0,"Muscles worked: Quadriceps, core, glutes

Level: from Intermediate to every level

Excellent for frontal activation and posture"
squat,Squat,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/squat/1.jpg | /exercise-photos/squat/2.jpg,0,"Muscles worked: Quadriceps, core, glutes

Level: from Intermediate to every level

The technique requires flexibility of the shoulders, a better hold of the trunk"
squat-low-bar-axis-below,Squat - low bar - axis below,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/squat-low-bar-axis-below/1.jpg | /exercise-photos/squat-low-bar-axis-below/2.jpg,0,"Muscles worked: Buttocks, hamstrings, quadriceps

Level: from Intermediate to every level

Shifting the center of gravity back, heavier weights"
safety-bar-squat,Safety bar squat,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/safety-bar-squat/1.jpg | /exercise-photos/safety-bar-squat/2.jpg,0,"Muscles worked: Quadriceps, core, glutes

Level: from Intermediate to every level

Safe for shoulders and neck, more stable"
sumo-squat,Sumo squat,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/sumo-squat/1.jpg,0,"Muscles worked: Buttocks, inner thighs

Level: from Intermediate to every level

Wide stance, suitable for limited ankle mobility"
back-lunges-with-safety-bar,Back lunges with safety bar,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/back-lunges-with-safety-bar/1.jpg | /exercise-photos/back-lunges-with-safety-bar/2.jpg,0,"Muscles worked: Quadriceps, glutes, hamstrings, core

Level: from Intermediate to every level

One-sided load with axis"
outlets-on-the-crate,Outlets on the crate,Legs,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/outlets-on-the-crate/1.jpg | /exercise-photos/outlets-on-the-crate/2.jpg,0,"Muscles worked: Quadriceps, glutes

Level: from Intermediate to every level

Functional strength, excellent for coordination"
overhead-squat-unilateral,Overhead Squat (Unilateral),Shoulders,squat,3,10,,,,from Intermediate to every level,,/exercise-photos/overhead-squat-unilateral/1.jpg,0,"Muscles worked: Quadriceps, core, shoulders, stabilizers

Level: from Intermediate to every level

Great for trunk stability, coordination"
squats-on-one-leg,Squats on one leg,Legs,squat,3,10,,,,from Advanced to every level,,/exercise-photos/squats-on-one-leg/1.jpg | /exercise-photos/squats-on-one-leg/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: from Advanced to every level

Very demanding on strength, mobility and balance"
squats-on-one-leg-on-a-crate,Squats on one leg on a crate,Legs,squat,3,10,,,,from Advanced to every level,,/exercise-photos/squats-on-one-leg-on-a-crate/1.jpg | /exercise-photos/squats-on-one-leg-on-a-crate/2.jpg,0,"Muscles worked: Quadriceps, glutes, core

Level: from Advanced to every level

Higher difficulty, transition from the classic pistol squat"
sissy-squat-with-weights,Sissy squat with weights,Core,squat,3,10,,,,From advanced to every level (recommended for those who can do basic squats without difficulty and have good knee and trunk control),,,,"Muscles worked: Quadriceps, core, knee stabilizers, small muscles of the foot and ankle

Level: From advanced to every level (recommended for those who can do basic squats without difficulty and have good knee and trunk control)

A very demanding quadriceps isolation exercise, especially during the eccentric phase.
Not suitable for knee pain or poor stabilization.
Ideal as a supplement to regular squats, not as the main volume exercise."
good-morning-biceps-with-a-barbell-behind-the-head,Good morning (Biceps with a barbell behind the head),Legs,hinge,3,10,,,,Intermediate and above,,/exercise-photos/good-morning-biceps-with-a-barbell-behind-the-head/1.jpg | /exercise-photos/good-morning-biceps-with-a-barbell-behind-the-head/2.jpg,0,"What is a hip flexor?
Hip flexion is a basic movement pattern in which the torso leans forward with minimal knee bend while the hips move backward. The spine remains in a neutral position. A typical exercise is the Romanian deadlift (RDL), swing or ""good morning"".

Why is it important?

🍑 Strengthens the buttocks and the back of the thighs (hamstrings), which are key for pelvic stability and back pain prevention.
🍑 Teaches the correct movement when lifting loads - i.e. instead of bending at the back, bends at the hip.
🍑 Helps improve posture and movement efficiency.
🍑 It also strengthens the deep stabilization muscles of the trunk (core).

 Muscles involved:

Gluteus maximus, Hamstrings, Erector spinae, Core, Adductors and Calves

❗ What to watch out for when exercising with hip flexion
❗Keep your back straight (do not slouch) - maintain a neutral spine without rounding or bending at the hips.
❗The movement comes from the hips, not the knees - the knees bend slightly, but the torso leans forward due to the movement in the hips.
❗Tense your stomach (core activation) - this will protect your lumbar area.
❗Movement Control – No quick or jerky movements, especially when coming back up.
❗Squeeze your buttocks when returning to the starting position - this will engage the right muscles.
❗Inhale when going down, exhale when returning up.

Muscles worked: Buttocks, hamstrings, spine erectors, core

Level: Intermediate and above

Pay attention to technique - appropriate weight, straight back, smooth movement."
good-morning-sitting,Good Morning sitting,Legs,hinge,3,10,,,,Intermediate,,/exercise-photos/good-morning-sitting/1.jpg | /exercise-photos/good-morning-sitting/2.jpg,0,"Muscles worked: Buttocks, hamstrings, spine erectors

Level: Intermediate

Smaller range, good for practice."
romanian-deadlift-rdl-with-big-axis,Romanian Deadlift (RDL) with big axis,Legs,hinge,3,10,,,,Intermediate-Advanced,,/exercise-photos/romanian-deadlift-rdl-with-big-axis/1.jpg | /exercise-photos/romanian-deadlift-rdl-with-big-axis/2.jpg,0,"Muscles worked: Buttocks, hamstrings, spine erectors, core

Level: Intermediate-Advanced

Excellent complex exercise, keep the spine neutral, barbell close to the thighs."
romanian-deadlift-rdl-with-one-arm,Romanian deadlift (RDL) with one arm,Legs,hinge,3,10,,,,Beginner-Advanced,,/exercise-photos/romanian-deadlift-rdl-with-one-arm/1.jpg | /exercise-photos/romanian-deadlift-rdl-with-one-arm/2.jpg,0,"Muscles worked: Buttocks, hamstrings, spine erectors

Level: Beginner-Advanced

A lighter option, also suitable for beginners."
landmine-romanian-deadlift,Landmine Romanian Deadlift,Legs,hinge,3,10,,,,Beginner-intermediate,,/exercise-photos/landmine-romanian-deadlift/1.jpg | /exercise-photos/landmine-romanian-deadlift/2.jpg,0,"Muscles worked: Buttocks, hamstrings, spine erectors

Level: Beginner-intermediate

Stable trajectory thanks to the landmine - suitable for learning the technique."
romanian-big-axis-deadlift-with-support-on-the-back-leg,Romanian big axis deadlift with support on the back leg,Legs,hinge,3,10,,,,Intermediate,,/exercise-photos/romanian-big-axis-deadlift-with-support-on-the-back-leg/1.jpg | /exercise-photos/romanian-big-axis-deadlift-with-support-on-the-back-leg/2.jpg,0,"Muscles worked: Buttocks, hamstrings, core, lower limb stabilizers

Level: Intermediate

Unilateral variant - helps balance muscle imbalances."
romanian-deadlift-rdl-with-one-arm-supported-on-the-back-leg,Romanian deadlift (RDL) with one arm supported on the back leg,Legs,hinge,3,10,,,,Intermediate,,/exercise-photos/romanian-deadlift-rdl-with-one-arm-supported-on-the-back-leg/1.jpg,0,"Muscles worked: Buttocks, hamstrings, core

Level: Intermediate

Suitable for training movement control for each leg separately."
romanian-deadlift-rdl-with-one-arm-on-one-leg,Romanian deadlift (RDL) with one arm on one leg,Legs,hinge,3,10,,,,Advanced,,/exercise-photos/romanian-deadlift-rdl-with-one-arm-on-one-leg/1.jpg | /exercise-photos/romanian-deadlift-rdl-with-one-arm-on-one-leg/2.jpg,0,"Muscles worked: Buttocks, hamstrings, core, ankle and knee stabilization

Level: Advanced

Very demanding on balance and stability."
kettlebell-deadlift-classic,"Kettlebell Deadlift, Classic",Legs,hinge,3,10,,,,Beginner-intermediate,,/exercise-photos/kettlebell-deadlift-classic/1.jpg | /exercise-photos/kettlebell-deadlift-classic/2.jpg,0,"Muscles worked: Buttocks, hamstrings, back muscles

Level: Beginner-intermediate

Suitable for learning to move and activate the posterior chain."
classic-deadlift,Classic deadlift,Back,hinge,3,10,,,,Intermediate-Advanced,,/exercise-photos/classic-deadlift/1.jpg | /exercise-photos/classic-deadlift/2.jpg,0,"Muscles worked: The entire posterior chain (buttocks, hamstrings, back), quadriceps, core

Level: Intermediate-Advanced

Excellent strength exercise - pay attention to the correct starting position."
trap-bar-deadlift,Trap bar deadlift,Legs,hinge,3,10,,,,Intermediate,,/exercise-photos/trap-bar-deadlift/1.jpg | /exercise-photos/trap-bar-deadlift/2.jpg,0,"Muscles worked: Glutes, hamstrings, quadriceps, core

Level: Intermediate

A light learning option, convenient position of the handles - less strain on the back."
sumo-deadlift,Sumo deadlift,Legs,hinge,3,10,,,,Intermediate,,/exercise-photos/sumo-deadlift/1.jpg | /exercise-photos/sumo-deadlift/2.jpg,0,"Muscles worked: Adductors, glutes, hamstrings, spine erectors, core

Level: Intermediate

Wider stance – greater engagement of the inner thighs."
kettlebell-swing,Kettlebell swing,Legs,hinge,3,10,,,,Advanced,,/exercise-photos/kettlebell-swing/1.jpg | /exercise-photos/kettlebell-swing/2.jpg,0,"Muscles worked: Buttocks, hamstrings, core, cardiovascular system

Level: Advanced

Dynamic movement - an exercise for explosiveness and endurance."
one-handed-kettlebell-swing,One-handed kettlebell swing,Shoulders,hinge,3,10,,,,Advanced,,,,"Muscles worked: Buttocks, hamstrings, core, shoulders (stabilization), bilateral balance

Level: Advanced

Suitable for advanced - more demanding on coordination and stability."
attachments-to-trx,Attachments to trx,Arms,horizontal-pull,3,10,,,,Beginner,,/exercise-photos/attachments-to-trx/1.jpg | /exercise-photos/attachments-to-trx/2.jpg,0,"What is it:
The horizontal pull is a group of exercises in which we pull the weight towards the torso in a horizontal plane - typically from front to back. This mainly includes pull-ups in a forward bend, on the TRX, rowing machines or pull-ups in a seated position.

Why include this movement in training:
◀️ Strong back = healthy back. The horizontal pull strengthens the interscapular muscles and lower trapezius, which help maintain a healthy posture.
◀️ Compensates chest dominance. Most people have overloaded pectoral muscles - horizontal pulls compensate for this imbalance.
◀️ Shoulder and shoulder blade stability support. A strong upper back improves arm control and protects the shoulder joint.
◀️ Basic movement pattern. Along with squats, presses and pull-ups, they are among the main patterns that should be part of any balanced strength program.

Muscles involved:
Primary: latissimus dorsi, trapezius, rear deltoids, rhomboids
Secondary: biceps, deep back muscles, forearm muscles, core

What to watch out for when performing:

⚠️ Keep your back straight (don't slouch).
⚠️ Do not extend your shoulders excessively forward.
⚠️ Consciously activate the shoulder blades - pull them towards you and down.
⚠️ When doing TRX or rowing, keep your body in a straight line.
⚠️ The wrists remain in a neutral position, do not break them.
⚠️Don't use inertia - movement should be controlled.

Muscles worked: back muscles, interscapularis, biceps, mid-body

Level: Beginner

The more vertical the position, the harder"
one-arm-trx-pull-ups,One arm trx pull ups,Arms,horizontal-pull,3,10,,,,Slightly advanced,,/exercise-photos/one-arm-trx-pull-ups/1.jpg | /exercise-photos/one-arm-trx-pull-ups/2.jpg,0,"Muscles worked: back muscles, biceps, core stabilization

Level: Slightly advanced

Greater demands on balance"
dumbbell-pull-ups-in-a-forward-bend,Dumbbell pull-ups in a forward bend,Back,horizontal-pull,3,10,,,,Moderately advanced - advanced,,/exercise-photos/dumbbell-pull-ups-in-a-forward-bend/1.jpg | /exercise-photos/dumbbell-pull-ups-in-a-forward-bend/2.jpg,0,"Muscles worked: latissimus, trapezius, rhomboids, rear delts, biceps

Level: Moderately advanced - advanced

Focus on spinal fixation"
one-arm-pull-ups-in-a-forward-bend,One-arm pull-ups in a forward bend,Back,horizontal-pull,3,10,,,,Slightly advanced,,/exercise-photos/one-arm-pull-ups-in-a-forward-bend/1.jpg | /exercise-photos/one-arm-pull-ups-in-a-forward-bend/2.jpg,0,"Muscles worked: same as above

Level: Slightly advanced

Unilateral loading - suitable for balancing imbalances"
trx-pull-ups-elevated-legs,Trx pull-ups (elevated legs),Core,horizontal-pull,3,10,,,,Advanced,,/exercise-photos/trx-pull-ups-elevated-legs/1.jpg | /exercise-photos/trx-pull-ups-elevated-legs/2.jpg,0,"Muscles worked: back muscles, core

Level: Advanced

More demanding due to stabilization"
seated-back-pull-ups-lower-pulley-pull-ups,Seated back pull-ups / Lower pulley pull-ups,Back,horizontal-pull,3,10,,,,Beginner - Advanced,,/exercise-photos/seated-back-pull-ups-lower-pulley-pull-ups/1.jpg | /exercise-photos/seated-back-pull-ups-lower-pulley-pull-ups/2.jpg,0,"Muscles worked: latissimus dorsi, interscapularis, trapezius, biceps

Level: Beginner - Advanced

Ideal for controlled execution"
seated-back-pull-ups-wide-grip,Seated back pull-ups wide grip,Shoulders,horizontal-pull,3,10,,,,Advanced,,/exercise-photos/seated-back-pull-ups-wide-grip/1.jpg | /exercise-photos/seated-back-pull-ups-wide-grip/2.jpg,0,"Muscles worked: they engage the upper back and rear delts more

Level: Advanced

Ideal for controlled execution"
half-kneeling-back-pull-ups-one-arm-kneeling-lower-pulley-pull-ups,Half-kneeling back pull-ups / One-arm kneeling lower pulley pull-ups,Core,horizontal-pull,3,10,,,,Slightly advanced,,/exercise-photos/half-kneeling-back-pull-ups-one-arm-kneeling-lower-pulley-pull-ups/1.jpg | /exercise-photos/half-kneeling-back-pull-ups-one-arm-kneeling-lower-pulley-pull-ups/2.jpg,0,"Muscles worked: unilateral activation of the back, core

Level: Slightly advanced

Torso rotation must not be excessive"
back-pull-ups-with-landmine,Back pull-ups with Landmine,Core,horizontal-pull,3,10,,,,Intermediate,,/exercise-photos/back-pull-ups-with-landmine/1.jpg | /exercise-photos/back-pull-ups-with-landmine/2.jpg,0,"Muscles worked: posterior chain, center of body

Level: Intermediate"
gorilla-pull-ups,Gorilla pull-ups,Back,horizontal-pull,3,10,,,,Advanced,,/exercise-photos/gorilla-pull-ups/1.jpg | /exercise-photos/gorilla-pull-ups/2.jpg,0,"Muscles worked: back muscles, lower back, deep stabilization system

Level: Advanced

Excellent for developing brute strength"
one-arm-rows-on-an-incline-bench,One-arm rows on an incline bench,Shoulders,horizontal-pull,3,10,,,,Beginner - slightly advanced,,/exercise-photos/one-arm-rows-on-an-incline-bench/1.jpg | /exercise-photos/one-arm-rows-on-an-incline-bench/2.jpg,0,"Muscles worked: rear delts, interscapular muscles, biceps

Level: Beginner - slightly advanced

Minimizes the involvement of the lower back"
one-arm-rows-on-an-inclined-bench-unilaterally,One-arm rows on an inclined bench unilaterally,Back,horizontal-pull,3,10,,,,Slightly advanced,,/exercise-photos/one-arm-rows-on-an-inclined-bench-unilaterally/1.jpg | /exercise-photos/one-arm-rows-on-an-inclined-bench-unilaterally/2.jpg,0,"Muscles worked: same as above, with an emphasis on unilateral stabilization

Level: Slightly advanced

Core must remain engaged"
rowing-machine,Rowing machine,Back,horizontal-pull,3,10,,,,Beginner - everyone,,/exercise-photos/rowing-machine/1.jpg | /exercise-photos/rowing-machine/2.jpg,0,"Muscles worked: latissimus dorsi, trapezius, rhomboids, biceps

Level: Beginner - everyone

A smooth stroke, not a jerk"
unilateral-rowing-machine,Unilateral rowing machine,Back,horizontal-pull,3,10,,,,Slightly advanced,,/exercise-photos/unilateral-rowing-machine/1.jpg | /exercise-photos/unilateral-rowing-machine/2.jpg,0,"Muscles worked: same as above, with asymmetric loading

Level: Slightly advanced"
dumbbell-pull-ups-in-a-forward-bend-unilaterally,Dumbbell pull-ups in a forward bend unilaterally,Back,horizontal-pull,3,10,,,,Advanced,,/exercise-photos/dumbbell-pull-ups-in-a-forward-bend-unilaterally/1.jpg | /exercise-photos/dumbbell-pull-ups-in-a-forward-bend-unilaterally/2.jpg,0,"Muscles worked: as with a classic pull-up in a forward bend

Level: Advanced

One-sided loading, greater stabilization requirements"
pull-ups-with-rubber-in-a-sitting-position,Pull-ups with rubber in a sitting position,Back,horizontal-pull,3,10,,,,Beginner,,,,"Muscles worked: upper back, interscapular muscles, biceps

Level: Beginner

Suitable as compensation or warm-up"
overhand-push-ups,Overhand push-ups,Back,vertical-pull,3,10,,,,Advanced,,/exercise-photos/overhand-push-ups/1.jpg | /exercise-photos/overhand-push-ups/2.jpg,0,"A vertical pull is one of the basic movement patterns in which we pull or pull resistance from top to bottom. It is one of the most effective exercises for developing the back muscles, especially the latissimus dorsi, but it also strengthens the arms, grip and core.

👉 As part of strength training, it helps:
⬇️ improve posture (e.g. extended shoulders),
⬇️ compensate for a sedentary lifestyle (hunched over the computer),
⬇️ increase functional strength for normal daily movements (e.g. lifting a child),
⬇️ prepare the body for more demanding exercises (e.g. push-ups, pull-ups on the bar).

What to watch out for when performing:
⚠️ The shoulders should be pulled down and back (not pulled towards the neck).
⚠️ Do not sag at the hips (active center of the body).
⚠️ Movement starts from the shoulder blades, not just the arms.
⚠️ When pulling the pulley: do not bend the elbows back, but towards the torso.

Choose a grip according to your abilities - a wider grip engages more of the back, a narrower more biceps.

Muscles worked: Latissimus dorsi, interscapular muscles, trapezius, biceps

Level: Advanced

The back is involved more, the grip is more demanding on strength"
shyby-by-touch,Shyby by touch,Back,vertical-pull,3,10,,,,Advanced,,/exercise-photos/shyby-by-touch/1.jpg | /exercise-photos/shyby-by-touch/2.jpg,0,"Muscles worked: Latissimus dorsi, biceps more than back

Level: Advanced

Suitable for beginners to strengthen their arms"
push-ups-with-a-neutral-grip,Push-ups with a neutral grip,Back,vertical-pull,3,10,,,,Intermediate,,/exercise-photos/push-ups-with-a-neutral-grip/1.jpg | /exercise-photos/push-ups-with-a-neutral-grip/2.jpg,0,"Muscles worked: Latissimus dorsi, interscapular muscles, biceps

Level: Intermediate

Gentlest on the shoulders, recommended for beginners"
push-ups-on-the-machine-with-assistance-on-the-knees,Push-ups on the machine with assistance on the knees,Back,vertical-pull,3,10,,,,Beginner,,/exercise-photos/push-ups-on-the-machine-with-assistance-on-the-knees/1.jpg | /exercise-photos/push-ups-on-the-machine-with-assistance-on-the-knees/2.jpg,0,"Muscles worked: Latissimus dorsi, biceps

Level: Beginner

Help with lifting your own weight - builds a foundation"
push-ups-with-the-help-of-a-rubber-band,Push-ups with the help of a rubber band,Back,vertical-pull,3,10,,,,Beginner - Intermediate,,/exercise-photos/push-ups-with-the-help-of-a-rubber-band/1.jpg | /exercise-photos/push-ups-with-the-help-of-a-rubber-band/2.jpg,0,"Muscles worked: Latissimus dorsi, biceps

Level: Beginner - Intermediate

The rubber band relieves the lower part of the movement"
lowering-the-top-pulley-with-one-arm-kneels,Lowering the top pulley with one arm kneels,Back,vertical-pull,3,10,,,,Beginner - Advanced,,/exercise-photos/lowering-the-top-pulley-with-one-arm-kneels/1.jpg | /exercise-photos/lowering-the-top-pulley-with-one-arm-kneels/2.jpg,0,"Muscles worked: Latissimus, interscapular muscles, mid-body

Level: Beginner - Advanced

Unilateral – helps reveal muscle imbalances"
wide-grip-seated-upper-pulley-pull-down,Wide grip seated upper pulley pull-down,Back,vertical-pull,3,10,,,,Beginner - Advanced,,/exercise-photos/wide-grip-seated-upper-pulley-pull-down/1.jpg | /exercise-photos/wide-grip-seated-upper-pulley-pull-down/2.jpg,0,"Muscles worked: Latissimus dorsi (more), trapezius

Level: Beginner - Advanced

Wider grip = emphasis on back muscles"
parallel-grip-pull-down-pulley,Parallel grip pull down pulley,Back,vertical-pull,3,10,,,,Beginner,,/exercise-photos/parallel-grip-pull-down-pulley/1.jpg | /exercise-photos/parallel-grip-pull-down-pulley/2.jpg,0,"Muscles worked: Latissimus, biceps

Level: Beginner

A neutral (narrow) grip saves the shoulders"
pulling-the-pulley-by-underhand-grip,Pulling the pulley by underhand grip,Back,vertical-pull,3,10,,,,Beginner,,/exercise-photos/pulling-the-pulley-by-underhand-grip/1.jpg | /exercise-photos/pulling-the-pulley-by-underhand-grip/2.jpg,0,"Muscles worked: Latissimus, biceps (more)

Level: Beginner

The touch will highlight the engagement of the biceps"
pulling-the-v-holder-pulley,Pulling the V-holder pulley,Back,vertical-pull,3,10,,,,Beginner,,,,"Muscles worked: Latissimus, mid back, biceps

Level: Beginner

Good ratio between back and arm work"
cranks,Cranks,Chest,horizontal-push,3,10,,,,From a beginner,,/exercise-photos/cranks/1.jpg | /exercise-photos/cranks/2.jpg,0,"What is horizontal pressure?
A horizontal press is a movement where you push a weight forward from your chest – either standing, sitting or lying down. This includes, for example, push-ups, bench press or machine presses. The main difference with vertical pressures (overhead pressures) is the direction of movement.

Why is it important:
➡️ Strengthens pectoral muscles, triceps and the front part of the shoulders.
➡️ Helps improve posture, especially if you have a weak upper body.
➡️ It is essential for the overall strength of the upper half of the body and for balance with stretching exercises (e.g. pull-ups).

Muscles involved:
Chest muscles (pectoralis major and minor), Triceps brachii, Anterior deltoid (front part of the shoulders), Stabilization: core, shoulder blades

What to watch out for when performing:
⚠️ Pull your shoulders down and back to avoid overloading the shoulder joint.
⚠️ Strengthen the center of the body - you will prevent sagging in the hips.
⚠️ Elbows do not point too high (ideally approx. 45° from the body during bench press).
⚠️ Breathe smoothly - inhale when starting, exhale when pressing.

Muscles worked: Pectorals, triceps, anterior deltoid, core

Level: From a beginner

Keep your body straight, don't bend your hips."
knee-push-ups,Knee push ups,Chest,horizontal-push,3,10,,,,Beginner,,/exercise-photos/knee-push-ups/1.jpg | /exercise-photos/knee-push-ups/2.jpg,0,"Muscles worked: The same, but with a lower intensity

Level: Beginner

Suitable as a first step to the classic handle."
push-up-with-raised-arms,Push up with raised arms,Chest,horizontal-push,3,10,,,,Beginner,,/exercise-photos/push-up-with-raised-arms/1.jpg | /exercise-photos/push-up-with-raised-arms/2.jpg,0,"Muscles worked: Pectoral muscles (greater involvement of the upper part), triceps, shoulders

Level: Beginner

Suitable for reducing difficulty."
seated-chest-presses,Seated chest presses,Chest,horizontal-push,3,10,,,,From beginner to every level,,/exercise-photos/seated-chest-presses/1.jpg | /exercise-photos/seated-chest-presses/2.jpg,0,"Muscles worked: Chest muscles, triceps, shoulders

Level: From beginner to every level

Stable movement path, less demanding on coordination."
unilateral-seated-chest-presses,Unilateral seated chest presses,Core,horizontal-push,3,10,,,,Slightly advanced,,/exercise-photos/unilateral-seated-chest-presses/1.jpg | /exercise-photos/unilateral-seated-chest-presses/2.jpg,0,"Muscles worked: The same, increased activation of the center of the body

Level: Slightly advanced

It helps to detect and balance muscle imbalances."
bench-press-on-a-horizontal-bench,Bench press on a horizontal bench,Chest,horizontal-push,3,10,,,,Moderately advanced to advanced,,/exercise-photos/bench-press-on-a-horizontal-bench/1.jpg | /exercise-photos/bench-press-on-a-horizontal-bench/2.jpg,0,"Muscles worked: Pectoral muscles, triceps, anterior deltoid

Level: Moderately advanced to advanced

Classic strength exercise, pay attention to stable shoulder blades and range of motion."
bench-press-on-an-inclined-bench,Bench press on an inclined bench,Chest,horizontal-push,3,10,,,,Slightly advanced,,/exercise-photos/bench-press-on-an-inclined-bench/1.jpg | /exercise-photos/bench-press-on-an-inclined-bench/2.jpg,0,"Muscles worked: Chest muscles - upper part, triceps, shoulders

Level: Slightly advanced

More emphasis on the upper part of the breast."
horizontal-chest-press,Horizontal chest press,Chest,horizontal-push,3,10,,,,Slightly advanced,,/exercise-photos/horizontal-chest-press/1.jpg | /exercise-photos/horizontal-chest-press/2.jpg,0,"Muscles worked: Chest muscles, triceps, core stabilization

Level: Slightly advanced

Freer path of movement, greater activation of stabilizers."
bench-press-with-one-arms,Bench press with one arms,Chest,horizontal-push,3,10,,,,Moderately advanced to advanced,,/exercise-photos/bench-press-with-one-arms/1.jpg | /exercise-photos/bench-press-with-one-arms/2.jpg,0,"Muscles worked: Pectorals, triceps, shoulders, core

Level: Moderately advanced to advanced

It requires stability and coordination."
one-arm-bench-press,One arm bench press,Core,horizontal-push,3,10,,,,Advanced,,/exercise-photos/one-arm-bench-press/1.jpg | /exercise-photos/one-arm-bench-press/2.jpg,0,"Muscles worked: The same + significant activation of the center of the body

Level: Advanced

Ideal for developing unilateral strength and stabilization."
flat-press-chest-presses,Flat Press Chest Presses,Chest,horizontal-push,3,10,,,,From moderately advanced,,,,"Muscles worked: Chest muscles, triceps, shoulders

Level: From moderately advanced

An alternative to the classic bench press."
landmine-shoulder-presses-with-the-axis-in-a-semi-kneeling-position,Landmine shoulder presses with the axis in a semi-kneeling position,Shoulders,vertical-push,3,10,,,,Beginner - Intermediate,,/exercise-photos/landmine-shoulder-presses-with-the-axis-in-a-semi-kneeling-position/1.jpg | /exercise-photos/landmine-shoulder-presses-with-the-axis-in-a-semi-kneeling-position/2.jpg,0,"Why include vertical presses in training?
Overhead presses are a fundamental movement for developing shoulder strength, core stability and proper shoulder blade function. We use this movement in everyday life - from putting things on top shelves to handling heavy loads. At the same time, it tests shoulder mobility, thoracic spine and trunk stability.

By regularly including overhead presses:
⬆️ you will strengthen the deltoid muscles, trapezius and deep stabilizers of the shoulder blades,
⬆️ you will improve shoulder position and body posture,
⬆️ you will increase the functional strength of the upper half of the body.

What to watch out for when performing:

⚠️ Avoid bending in the hips - activate the abdominal muscles and lower the pelvis.
⚠️ Keep your elbows under the axis/handles - don't tilt them to the sides.
⚠️ The wrist should remain in a neutral position (do not fall back).
⚠️ Don't push the range - start in a position where you are in control.
⚠️ Breathe: exhale when pressing up, inhale when lowering.

Muscles worked: anterior and middle deltoids, triceps, body collision, scapular stabilizers

Level: Beginner - Intermediate

Great for beginners - less range of motion and more control"
landmine-pressures-with-vertical-axis,Landmine pressures with vertical axis,Shoulders,vertical-push,3,10,,,,Intermediate,,/exercise-photos/landmine-pressures-with-vertical-axis/1.jpg | /exercise-photos/landmine-pressures-with-vertical-axis/2.jpg,0,"Muscles worked: deltoids, core, shoulder rotators

Level: Intermediate

An excellent transitional exercise between machine and free presses"
shoulder-presses-on-the-machine,Shoulder presses on the machine,Back,vertical-push,3,10,,,,Beginner,,/exercise-photos/shoulder-presses-on-the-machine/1.jpg | /exercise-photos/shoulder-presses-on-the-machine/2.jpg,0,"Muscles worked: front delts, triceps, upper trapezius

Level: Beginner

Stable guided movement, suitable for building strength in beginners"
shoulder-presses-on-a-unilateral-machine,Shoulder presses on a unilateral machine,Shoulders,vertical-push,3,10,,,,Beginner - Intermediate,,/exercise-photos/shoulder-presses-on-a-unilateral-machine/1.jpg | /exercise-photos/shoulder-presses-on-a-unilateral-machine/2.jpg,0,"Muscles worked: the same + more emphasis on torso stability and asymmetry

Level: Beginner - Intermediate

It helps balance muscle imbalances"
overhead-pressures-with-axis,Overhead pressures with axis,Shoulders,vertical-push,3,10,,,,Intermediate to advanced,,/exercise-photos/overhead-pressures-with-axis/1.jpg | /exercise-photos/overhead-pressures-with-axis/2.jpg,0,"Muscles worked: whole deltas, triceps, core, shoulder blade stabilizers

Level: Intermediate to advanced

Be sure to activate the center and control the lumbar region"
seated-shoulder-presses,Seated shoulder presses,Shoulders,vertical-push,3,10,,,,Intermediate,,/exercise-photos/seated-shoulder-presses/1.jpg | /exercise-photos/seated-shoulder-presses/2.jpg,0,"Muscles worked: front and middle delts, triceps

Level: Intermediate

Less demands on balance, more isolates the shoulders"
seated-unilateral-shoulder-presses,Seated unilateral shoulder presses,Shoulders,vertical-push,3,10,,,,Intermediate,,/exercise-photos/seated-unilateral-shoulder-presses/1.jpg | /exercise-photos/seated-unilateral-shoulder-presses/2.jpg,0,"Muscles worked: same + body clash, obliques

Level: Intermediate

Excellent for eliminating power imbalances between parties"
standing-shoulder-presses,Standing shoulder presses,Shoulders,vertical-push,3,10,,,,Intermediate to advanced,,,,"Muscles worked: deltoids, triceps, mid-body, back stabilizers

Level: Intermediate to advanced

More technically demanding - a good test of strength and mobility"
